raw_specialty,nucc_codes,Label,explain,validated_label_used,methodA_flag,methodA_overlap_unigram,methodA_overlap_bigram,methodA_uni_jaccard,methodA_bi_jaccard,methodB_flag,methodB_fwd,methodB_rev,methodB_avg,methodC_flag,methodC_cosine,green_flag
HAND SURGERY,207XS0106X|2082S0105X|208600000X|2086S0105X,1.0,fuzzy match (query='hand surgery'): 'orthopaedic surgery hand surgery' score=1.00; 'plastic surgery surgery the hand' score=1.00; 'surgery' score=1.00; 'surgery surgery the hand' score=1.00,,,,,,,,,,,,,1
HEMATOLOGY/ONCOLOGY,207RH0003X|2080P0207X|261QX0200X,1.0,fuzzy match (query='hematology oncology'): 'internal medicine hematology oncology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00; 'oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
HEPATOLOGY,207RI0008X|207RT0003X|2080T0004X,1.0,fuzzy match (query='hepatology'): 'internal medicine hepatology' score=1.00; 'internal medicine transplant hepatology' score=1.00; 'pediatrics pediatric transplant hepatology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
INFECTIOUS DISEASE,207RI0200X,1.0,fuzzy match (query='infectious disease'): 'internal medicine infectious disease' score=1.00,,,,,,,,,,,,,1
INTERNAL MEDICINE,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
INTERVENTIONAL CARDIOLOGY,207RI0011X|246W00000X,1.0,fuzzy match (query='interventional cardiology'): 'internal medicine interventional cardiology' score=1.00; 'cardiology' score=1.00,,,,,,,,,,,,,1
INTERVENTIONAL RADIOLOGY,2085R0204X|261QR0200X,1.0,fuzzy match (query='interventional radiology'): 'radiology vascular interventional radiology' score=1.00; 'radiology' score=1.00,,,,,,,,,,,,,1
LACTATION EDUCATION,133NN1002X|163WC1600X|163WL0100X|174N00000X|390200000X,0.6522,fuzzy match (query='lactation education'): 'lactation consultant non rn' score=0.65; 'nutritionist nutrition education' score=0.64; 'nurse continuing education staff development' score=0.64; 'nurse lactation consultant' score=0.64; 'student in an organized education training' score=0.64,"Lactation Consultant, Non-RN",0,1,0,0.25,0.0,0,0.6522,0.6522,0.6522,0,0.7491,1
LICENSED MIDWIFERY,175M00000X|367A00000X,0.6471,fuzzy match (query='licensed midwifery'): 'advanced midwife' score=0.65; 'midwife lay' score=0.62,"Midwife, Lay",1,0,0,0.0,0.0,1,0.6207,0.6207,0.6207,0,0.67,0
MASSAGE THERAPY,261QP2000X,1.0,fuzzy match (query='massage therapy'): 'therapy' score=1.00,,,,,,,,,,,,,1
MATERNAL & FETAL MEDICINE,207PE0004X|207VM0101X,1.0,fuzzy match (query='maternal fetal medicine'): 'medicine' score=1.00; 'obstetrics gynecology maternal fetal medicine' score=1.00,,,,,,,,,,,,,1
MEDICAL ONCOLOGY,261QX0200X,1.0,exact match on 'oncology',,,,,,,,,,,,,1
MEDICAL SOCIAL WORK SERVICES,1041C0700X,0.9167,fuzzy match (query='social work'): 'social worker' score=0.92,Social Worker Clinical,0,1,0,0.5,0.0,1,0.64,0.64,0.64,0,0.7694,0
MENTAL HEALTH COUNSELING,101YM0800X,0.8485,fuzzy match (query='mental counseling'): 'counselor mental' score=0.85,Counselor Mental Health,0,1,0,0.5,0.0,0,0.8936,0.8936,0.8936,0,0.8889,1
MENTAL HEALTH COUNSELING CHILD & ADOLESCENT,208000000X,1.0,fuzzy match (query='mental counseling pediatrics adolescent'): 'pediatrics' score=1.00,,,,,,,,,,,,,1
NATUROPATHY,175F00000X,1.0,fuzzy match (query='naturopath y'): 'naturopath' score=1.00 + spacing rescue,,,,,,,,,,,,,1
NEONATAL/PERINATAL MEDICINE,207PE0004X|2080N0001X,1.0,fuzzy match (query='neonatal perinatal medicine'): 'medicine' score=1.00; 'pediatrics neonatal perinatal medicine' score=1.00,,,,,,,,,,,,,1
NEPHROLOGY,246ZN0300X,1.0,exact match on 'nephrology' + spacing rescue,,,,,,,,,,,,,1
NEUROLOGICAL SURGERY,207T00000X,1.0,exact match on 'neurological surgery',,,,,,,,,,,,,1
NEUROLOGY,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
NEUROPSYCHIATRY,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
NEUROPSYCHOLOGY,103GC0700X,0.875,fuzzy match (query='neuropsychology'): 'neuropsychologist' score=0.88,Clinical Neuropsychologist Clinical,1,0,0,0.0,0.0,0,0.6829,0.6829,0.6829,0,0.7621,0
NEURORADIOLOGY,2085N0700X,1.0,fuzzy match (query='neuroradiology'): 'radiology neuroradiology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
NUCLEAR MEDICINE,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
NURSE ANESTHESIA,363L00000X,1.0,fuzzy match (query='nurse anesthesia'): 'nurse' score=1.00,,,,,,,,,,,,,1
NURSE MIDWIFERY,363L00000X,1.0,fuzzy match (query='nurse midwifery'): 'nurse' score=1.00,,,,,,,,,,,,,1
NUTRITIONAL COUNSELING,101YM0800X|101YP2500X|103TC1900X|133VN1005X|225C00000X,0.6383,fuzzy match (query='nutritional counseling'): 'dietitian nutrition renal' score=0.64; 'counselor professional' score=0.64; 'counselor mental' score=0.63; 'psychologist counseling' score=0.62; 'rehabilitation counselor' score=0.61,Counselor Professional,1,0,0,0.0,0.0,1,0.6364,0.6364,0.6364,1,0.4904,0
OBSTETRICS,207V00000X|207VC0200X|207VC0300X|207VF0040X|207VX0201X,1.0,fuzzy match (query='obstetrics'): 'obstetrics gynecology' score=1.00; 'obstetrics gynecology complex family planning' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'obstetrics gynecology urogynecology reconstructive pelvic surgery' score=1.00; 'obstetrics gynecology gynecologic oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
OBSTETRICS & GYNECOLOGY,207V00000X,1.0,exact match on 'obstetrics gynecology',,,,,,,,,,,,,1
OCCUPATIONAL MEDICINE,261QX0100X,1.0,exact match on 'occupational medicine',,,,,,,,,,,,,1
OCCUPATIONAL THERAPY,224Z00000X,1.0,exact match on 'occupational therapy',,,,,,,,,,,,,1
OPHTHALMOLOGY,207W00000X,1.0,exact match on 'ophthalmology' + spacing rescue,,,,,,,,,,,,,1
OPTOMETRY,156FX1202X,0.8421,fuzzy match (query='optometry'): 'optometric' score=0.84,Technician/Technologist Optometric Technician,1,0,0,0.0,0.0,1,0.3721,0.3721,0.3721,1,0.5654,0
ORAL & MAXILLOFACIAL SURGERY,204E00000X|261QS0112X,1.0,exact match on 'oral maxillofacial surgery',,,,,,,,,,,,,1
ORAL MEDICINE,125Q00000X|207PE0004X,1.0,fuzzy match (query='oral medicine'): 'medicine' score=1.00; 'dentist oral medicine' score=1.00,,,,,,,,,,,,,1
ORAL SURGERY,1223S0112X|208600000X|261QS0112X,1.0,fuzzy match (query='oral surgery'): 'oral maxillofacial surgery' score=1.00; 'surgery' score=1.00; 'dentist oral maxillofacial surgery' score=1.00,,,,,,,,,,,,,1
ORTHOPEDIC SURGERY,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
OTOLARYNGOLOGY,207Y00000X,1.0,exact match on 'otolaryngology' + spacing rescue,,,,,,,,,,,,,1
PAIN MANAGEMENT,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
PALLIATIVE CARE,207LH0002X|207PH0002X|207QH0002X|207RH0002X|207VH0002X,1.0,fuzzy match (query='palliative'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00; 'obstetrics gynecology hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
PEDIATRIC ALLERGY & IMMUNOLOGY,207K00000X|207KA0200X|2080P0201X,1.0,fuzzy match (query='pediatric allergy immunology'): 'allergy immunology' score=1.00; 'allergy immunology allergy' score=1.00; 'pediatrics pediatric allergy immunology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC CARDIOLOGY,2080P0202X|246W00000X,1.0,fuzzy match (query='pediatric cardiology'): 'pediatrics pediatric cardiology' score=1.00; 'cardiology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC DERMATOLOGY,207N00000X|207NP0225X,1.0,fuzzy match (query='pediatric dermatology'): 'dermatology' score=1.00; 'dermatology pediatric dermatology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC ENDOCRINOLOGY,2080P0205X,1.0,fuzzy match (query='pediatric endocrinology'): 'pediatrics pediatric endocrinology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC GASTROENTEROLOGY,2080P0206X,1.0,fuzzy match (query='pediatric gastroenterology'): 'pediatrics pediatric gastroenterology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC HEMATOLOGY/ONCOLOGY,2080P0207X|261QX0200X,1.0,fuzzy match (query='pediatric hematology oncology'): 'pediatrics pediatric hematology oncology' score=1.00; 'oncology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC INFECTIOUS DISEASES,2080P0208X,1.0,fuzzy match (query='pediatric infectious diseases'): 'pediatrics pediatric infectious diseases' score=1.00,,,,,,,,,,,,,1
PEDIATRIC NEPHROLOGY,2080P0210X|246ZN0300X,1.0,fuzzy match (query='pediatric nephrology'): 'pediatrics pediatric nephrology' score=1.00; 'nephrology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC NEUROLOGY,2088P0231X,0.9444,fuzzy match (query='pediatric neurology'): 'urology pediatric urology' score=0.94,Urology Pediatric Urology,0,1,0,0.3333,0.0,0,0.9444,0.9444,0.9444,1,0.4439,0
PEDIATRIC OCCUPATIONAL THERAPY,224Z00000X|261QP2000X,1.0,fuzzy match (query='pediatric occupational therapy'): 'occupational therapy' score=1.00; 'therapy' score=1.00,,,,,,,,,,,,,1
PEDIATRIC OPHTHALMOLOGY,207W00000X|207WX0110X,1.0,fuzzy match (query='pediatric ophthalmology'): 'ophthalmology' score=1.00; 'ophthalmology pediatric ophthalmology strabismus' score=1.00,,,,,,,,,,,,,1
PEDIATRIC ORTHOPEDICS,207XP3100X,0.84,fuzzy match (query='pediatric orthopedics'): 'orthopaedic surgery pediatric orthopaedic surgery' score=0.84,Orthopaedic Surgery Pediatric Orthopaedic Surgery,0,1,0,0.3333,0.0,0,0.84,0.84,0.84,0,0.7584,1
PEDIATRIC OTOLARYNGOLOGY,207Y00000X|207YP0228X,1.0,fuzzy match (query='pediatric otolaryngology'): 'otolaryngology' score=1.00; 'otolaryngology pediatric otolaryngology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC PHYSICAL THERAPY,261QP2000X,1.0,fuzzy match (query='pediatric therapy'): 'therapy' score=1.00,,,,,,,,,,,,,1
PEDIATRIC PULMONOLOGY,2080P0214X,1.0,fuzzy match (query='pediatric pulmonology'): 'pediatrics pediatric pulmonology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC RHEUMATOLOGY,2080P0216X,1.0,fuzzy match (query='pediatric rheumatology'): 'pediatrics pediatric rheumatology' score=1.00,,,,,,,,,,,,,1
PEDIATRIC SPEECH THERAPY,261QP2000X,1.0,fuzzy match (query='pediatric speech therapy'): 'therapy' score=1.00,,,,,,,,,,,,,1
PEDIATRIC SURGERY,207XP3100X|208600000X|2086S0120X,1.0,fuzzy match (query='pediatric surgery'): 'orthopaedic surgery pediatric orthopaedic surgery' score=1.00; 'surgery' score=1.00; 'surgery pediatric surgery' score=1.00,,,,,,,,,,,,,1
PEDIATRIC UROLOGY,208800000X|2088P0231X,1.0,fuzzy match (query='pediatric urology'): 'urology' score=1.00; 'urology pediatric urology' score=1.00,,,,,,,,,,,,,1
PEDIATRICS,208000000X,1.0,exact match on 'pediatrics' + spacing rescue,,,,,,,,,,,,,1
PHYSICAL MEDICINE & REHABILITATION,208100000X,1.0,exact match on 'medicine rehabilitation',,,,,,,,,,,,,1
PHYSICAL THERAPY,225200000X|261QP2000X,1.0,exact match on 'therapy',,,,,,,,,,,,,1
PLASTIC SURGERY,208200000X,1.0,exact match on 'plastic surgery',,,,,,,,,,,,,1
PODIATRIC FOOT ANKLE SURGERY,208600000X|261QP1100X,1.0,fuzzy match (query='podiatric foot ankle surgery'): 'surgery' score=1.00; 'podiatric' score=1.00,,,,,,,,,,,,,1
PODIATRY,261QP1100X,0.8235,fuzzy match (query='podiatry'): 'podiatric' score=0.82,Clinic/Center Podiatric,1,0,0,0.0,0.0,1,0.4516,0.4516,0.4516,0,0.6758,0
PSYCH NURSE PRACTITIONER CHILD & ADOLESCENT,363L00000X,1.0,fuzzy match (query='psych nurse child adolescent'): 'nurse' score=1.00,,,,,,,,,,,,,1
PSYCHIATRIC NURSE PRACTITIONER,363L00000X|363LP0808X|364SP0807X|364SP0809X|364SP0810X,1.0,fuzzy match (query='psychiatric nurse'): 'nurse' score=1.00; 'nurse psychiatric mental' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse psychiatric mental child adolescent' score=1.00; 'nurse psychiatric mental child family' score=1.00,,,,,,,,,,,,,1
PSYCHIATRY,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='psychiatry'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
PSYCHIATRY (CHILD & ADOLESCENT),2084P0804X,1.0,fuzzy match (query='psychiatry child adolescent'): 'psychiatry neurology child adolescent psychiatry' score=1.00,,,,,,,,,,,,,1
PSYCHOLOGY,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,1,0.4865,0.4865,0.4865,1,0.5656,0
PSYCHOLOGY (CHILD & ADOLESCENT),208000000X,1.0,fuzzy match (query='psychology pediatrics adolescent'): 'pediatrics' score=1.00,,,,,,,,,,,,,1
PSYCHOLOGY â€“ PEDIATRIC,207ZP0213X,0.8718,fuzzy match (query='psychology pediatric'): 'pathology pediatric pathology' score=0.87,Pathology Pediatric Pathology,0,1,0,0.5,0.0,0,0.8718,0.8718,0.8718,1,0.3818,0
PULMONARY DISEASE,207RP1001X,1.0,fuzzy match (query='pulmonary disease'): 'internal medicine pulmonary disease' score=1.00,,,,,,,,,,,,,1
RADIATION ONCOLOGY,2085R0001X|261QX0200X|261QX0203X,1.0,fuzzy match (query='radiation oncology'): 'radiology radiation oncology' score=1.00; 'oncology' score=1.00; 'oncology radiation' score=1.00,,,,,,,,,,,,,1
REPRODUCTIVE ENDOCRINOLOGY,163WR1000X|207VE0102X,1.0,fuzzy match (query='reproductive endocrinology'): 'obstetrics gynecology reproductive endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00,,,,,,,,,,,,,1
RHEUMATOLOGY,207RR0500X|2080P0216X,1.0,fuzzy match (query='rheumatology'): 'internal medicine rheumatology' score=1.00; 'pediatrics pediatric rheumatology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
SLEEP MEDICINE,207PE0004X|207QS1201X|207RS0012X|207YS0012X|2080S0012X,1.0,fuzzy match (query='sleep medicine'): 'medicine' score=1.00; 'family medicine sleep medicine' score=1.00; 'internal medicine sleep medicine' score=1.00; 'otolaryngology sleep medicine' score=1.00; 'pediatrics sleep medicine' score=1.00,,,,,,,,,,,,,1
SOCIAL WORK SERVICES,1041C0700X,0.9167,fuzzy match (query='social work'): 'social worker' score=0.92,Social Worker Clinical,0,1,0,0.5,0.0,0,0.6667,0.6667,0.6667,0,0.764,1
SOCIAL WORK SERVICES CHILD & ADOLESCENT,208000000X,1.0,fuzzy match (query='social work pediatrics adolescent'): 'pediatrics' score=1.00,,,,,,,,,,,,,1
SPEECH/LANGUAGE PATHOLOGY,207ZC0006X|2355S0801X|246R00000X,1.0,fuzzy match (query='speech language pathology'): 'pathology pathology' score=1.00; 'speech language' score=1.00; 'pathology' score=1.00,,,,,,,,,,,,,1
SPORTS MEDICINE,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
SUBSTANCE USE DISORDER PROFESSIONAL,101YA0400X|103TA0400X|163WA0400X|276400000X,0.7778,fuzzy match (query='substance use disorder professional'): 'rehabilitation substance use disorder' score=0.78; 'counselor addiction substance use disorder' score=0.77; 'psychologist addiction substance use disorder' score=0.77; 'nurse addiction substance use disorder' score=0.77,Counselor Addiction (Substance Use Disorder),0,3,2,0.5,0.6667,0,0.7719,0.7719,0.7719,0,0.6318,1
SURGERY,208600000X,1.0,exact match on 'surgery' + spacing rescue,,,,,,,,,,,,,1
SURGICAL ONCOLOGY,208600000X,1.0,exact match on 'surgery',,,,,,,,,,,,,1
TEMPOROMANDIBULAR JOINT DISORDER,JUNK,0.5263,best fuzzy 0.53 below cutoff 0.60 (query='temporomandibular joint disorder'),,,,,,,,,,,,,0
THORACIC SURGERY,208600000X|208G00000X,1.0,fuzzy match (query='thoracic surgery'): 'surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00,,,,,,,,,,,,,1
UROLOGY,208800000X,1.0,exact match on 'urology' + spacing rescue,,,,,,,,,,,,,1
VASCULAR & INTERVENTIONAL RADIOLOGY,2085R0204X|261QR0200X,1.0,fuzzy match (query='vascular interventional radiology'): 'radiology vascular interventional radiology' score=1.00; 'radiology' score=1.00,,,,,,,,,,,,,1
WOMEN'S HEALTH CARE,163WW0101X|363LW0102X,1.0,fuzzy match (query='women s'): 'nurse women s ambulatory' score=1.00; 'nurse women s' score=1.00,,,,,,,,,,,,,1
Addiction Medicine,207LA0401X|207PE0004X|207QA0401X|207RA0401X|2083A0300X,1.0,fuzzy match (query='addiction medicine'): 'anesthesiology addiction medicine' score=1.00; 'medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00,,,,,,,,,,,,,1
Allergy and Immunology,207K00000X,1.0,exact match on 'allergy immunology',,,,,,,,,,,,,1
Brain Injury Medicine,207PE0004X|2081P0301X|2084P0301X,1.0,fuzzy match (query='brain injury medicine'): 'medicine' score=1.00; 'medicine rehabilitation brain injury medicine' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00,,,,,,,,,,,,,1
CHIROPRACTOR,111N00000X,1.0,exact match on 'chiropractor' + spacing rescue,,,,,,,,,,,,,1
CLINICAL NURSE SPECIALIST,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Family Medicine - Physician,207PE0004X|207QP0002X|363AM0700X,1.0,fuzzy match (query='family medicine physician'): 'medicine' score=1.00; 'family medicine physician nutrition' score=1.00; 'physician' score=1.00,,,,,,,,,,,,,1
GENERAL DENTISTRY,208D00000X,1.0,fuzzy match (query='general dentistry'): 'general' score=1.00,,,,,,,,,,,,,1
GENERAL PRACTICE,208D00000X,1.0,exact match on 'general',,,,,,,,,,,,,1
Hematology,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
HOSPICE AND PALLIATIVE MEDICINE,207LH0002X|207PE0004X|207PH0002X|207QH0002X|207RH0002X,1.0,fuzzy match (query='hospice palliative medicine'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
Internal Medicine - Physician,207PE0004X|207R00000X|207RP1002X|363AM0700X,1.0,fuzzy match (query='internal medicine physician'): 'medicine' score=1.00; 'internal medicine' score=1.00; 'internal medicine physician nutrition' score=1.00; 'physician' score=1.00,,,,,,,,,,,,,1
Licensed Dietician,164W00000X|167G00000X,0.6842,fuzzy match (query='licensed dietician'): 'licensed psychiatric' score=0.68; 'licensed practical nurse' score=0.67,Licensed Practical Nurse,0,1,0,0.5,0.0,0,0.6667,0.6667,0.6667,1,0.4394,0
