raw_specialty,nucc_codes,confidence,explain,confidence_bin
CLINICALLY MANAGED HIGH INTENSITY,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
CLINICALLY MANAGED LOW INTENSITY SERVICES,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
CLTC,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
CR,JUNK,0.16,top fuzzy 0.36 below cutoff,"(0.0, 0.25]"
CX,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
CZ,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
DEV DISAB,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
DHEC,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
DJ,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
DM,JUNK,0.14,top fuzzy 0.31 below cutoff,"(0.0, 0.25]"
DRG,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
DT,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
DU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
DW,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
EA,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
EU,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
EXCLUDED/OPT OUT,JUNK,0.22,top fuzzy 0.48 below cutoff,"(0.0, 0.25]"
F,JUNK,0.11,top fuzzy 0.25 below cutoff,"(0.0, 0.25]"
FC,JUNK,0.11,top fuzzy 0.24 below cutoff,"(0.0, 0.25]"
FG,JUNK,0.12,top fuzzy 0.27 below cutoff,"(0.0, 0.25]"
FH,JUNK,0.11,top fuzzy 0.24 below cutoff,"(0.0, 0.25]"
FISCAL INTERMEDIARY,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
FOCUSED TREATMENT LICENSED SUPERVISOR,JUNK,0.26,top fuzzy 0.58 below cutoff,"(0.25, 0.5]"
FW,JUNK,0.1,top fuzzy 0.22 below cutoff,"(0.0, 0.25]"
GF,JUNK,0.1,top fuzzy 0.22 below cutoff,"(0.0, 0.25]"
HD,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
HI,JUNK,0.16,top fuzzy 0.36 below cutoff,"(0.0, 0.25]"
HP,JUNK,0.16,top fuzzy 0.36 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
JD,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
JG,JUNK,0.1,top fuzzy 0.22 below cutoff,"(0.0, 0.25]"
KW,JUNK,0.1,top fuzzy 0.22 below cutoff,"(0.0, 0.25]"
Int Med,JUNK,0.26,top fuzzy 0.58 below cutoff,"(0.25, 0.5]"
LY,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
MISCELLANEOUS,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
ADULT - 364SP0809X,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
OT,JUNK,0.16,top fuzzy 0.36 below cutoff,"(0.0, 0.25]"
PER DIEM,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
CMMNTY - DVLPMNTL DSBLTS - 320900000X,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
QUALIFIED TREATMENT TRAINEE,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
PEST CONTROL BUSINESS,JUNK,0.26,top fuzzy 0.58 below cutoff,"(0.25, 0.5]"
ADULT - 261QM0850X,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
BEHAVIORAL TREATMENT LICENSED SUPERVISOR,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
LICENSED - 176B00000X,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Children Intensive Behavioral,JUNK,0.26,top fuzzy 0.58 below cutoff,"(0.25, 0.5]"
WOMEN - 282NW0100X,JUNK,0.21,top fuzzy 0.48 below cutoff,"(0.0, 0.25]"
TRANSITION ASSISTANCE SERVICES - 305S00000X,JUNK,0.23,top fuzzy 0.51 below cutoff,"(0.0, 0.25]"
RF,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
Rhinology (Osteopaths only),JUNK,0.26,top fuzzy 0.58 below cutoff,"(0.25, 0.5]"
RX,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
RY,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
SC,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
SCDMH,JUNK,0.16,top fuzzy 0.35 below cutoff,"(0.0, 0.25]"
SCREENER,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
SD,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
Sleep Disorders,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
SE,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
SH,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
SL,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
SLP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
RN/RCS,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
ALCOHOL & DRUG ABUSE,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
SLP BACHELOR LEVEL,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
SLP MASTER LEVEL,JUNK,0.23,top fuzzy 0.51 below cutoff,"(0.0, 0.25]"
NEONATOLOGY - LA STAFF,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
SO,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
SS,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
RURAL - 282NR1301X,JUNK,0.21,top fuzzy 0.48 below cutoff,"(0.0, 0.25]"
UNKNOWN/NOT AVAILABLE,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
AGENCY - HABILITATION - 251C00000X,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
ZV,JUNK,0.11,top fuzzy 0.25 below cutoff,"(0.0, 0.25]"
CHILDREN - 282NC2000X,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
FEDERAL - 261QP0904X,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
ORTHOTICS/PROSTHETICS FITTER - 225000000X,JUNK,0.27,top fuzzy 0.60 below cutoff,"(0.25, 0.5]"
"EPSDT-EARLY PER SCR,DIAG,TREAT",JUNK,0.24,top fuzzy 0.52 below cutoff,"(0.0, 0.25]"
ADAS - ALCOHOL/DRUG ADDICTION,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Masters Level Clinicians,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Fluoride Certification,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
Resident,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Other/Unknown,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Unknown/Not Available,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Unknown/Not Available,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Unknown/Not Available,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
W - DODD WAIVER,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Hemat,JUNK,0.31,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
####,JUNK,0.0,blank input,
temporary,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
tbd,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
1P,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
Cardi,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
xyz,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Onco,JUNK,0.31,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
FREE STANDING (RU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IR - USA,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
UNKNOWN,JUNK,0.17,top fuzzy 0.38 below cutoff,"(0.0, 0.25]"
OB/GYN - USA,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
Ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
OB/G,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
IP dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
none,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Psych,JUNK,0.31,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
abcd,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
??,JUNK,0.0,blank input,
Nephr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
zzz,JUNK,0.03,top fuzzy 0.07 below cutoff,"(0.0, 0.25]"
Dr. OB/GYN,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
error,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
routine,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Endocr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
,JUNK,0.0,blank input,
OPT1C1AN,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
misc,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
temp,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
Neur,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
IP - USA,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
Cardiothora,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
Dr. IP,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
random data,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
PublicHealth,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Dept of IR,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
12345,JUNK,0.0,top fuzzy 0.00 below cutoff,
SportsMedicine,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Dept of IP,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
1R,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
OB/GYN dept,JUNK,0.2,top fuzzy 0.45 below cutoff,"(0.0, 0.25]"
Dept of OB/GYN,JUNK,0.22,top fuzzy 0.49 below cutoff,"(0.0, 0.25]"
??,JUNK,0.0,blank input,
IP - USA,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
OB/GYN dept,JUNK,0.2,top fuzzy 0.45 below cutoff,"(0.0, 0.25]"
IR - USA,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
tbd,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Dr. OB/GYN,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
abcd,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
OB/G,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
PublicHealth,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
OPT1C1AN,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
1R,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
OB/GYN - USA,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
temp,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
xyz,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
UNKNOWN,JUNK,0.17,top fuzzy 0.38 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
error,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
random data,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
none,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Cardi,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
misc,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
Psych,JUNK,0.31,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Nephr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Neur,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
12345,JUNK,0.0,top fuzzy 0.00 below cutoff,
Onco,JUNK,0.31,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
,JUNK,0.0,blank input,
Endocr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
1P,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
Dr. IP,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
routine,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
FREE STANDING (RU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
temporary,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
tbd,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
Infectiou,JUNK,0.22,top fuzzy 0.48 below cutoff,"(0.0, 0.25]"
1R,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
temp,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
routine,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
,JUNK,0.0,blank input,
OB/GYN dept,JUNK,0.2,top fuzzy 0.45 below cutoff,"(0.0, 0.25]"
zzz,JUNK,0.03,top fuzzy 0.07 below cutoff,"(0.0, 0.25]"
12345,JUNK,0.0,top fuzzy 0.00 below cutoff,
1P,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
Neurops,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
miscellaneous,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
none,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
??,JUNK,0.0,blank input,
test,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
####,JUNK,0.0,blank input,
error,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
sample,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
misc,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
Neur,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
not available,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
abcd,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Nephr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
PublicHealth,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
OB/GYN - USA,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Dept of OB/GYN,JUNK,0.22,top fuzzy 0.49 below cutoff,"(0.0, 0.25]"
IR Division,JUNK,0.23,top fuzzy 0.52 below cutoff,"(0.0, 0.25]"
Hemat,JUNK,0.31,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IP - USA,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
Endocr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
FREE STANDING (RU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
SportsMedicine,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
xyz,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
ReproductiveEndocrinology,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
UNKNOWN,JUNK,0.17,top fuzzy 0.38 below cutoff,"(0.0, 0.25]"
OB/G,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
Audi,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Dr. OB/GYN,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
Dr. IP,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
Dept of IP,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
Cardi,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
OPT1C1AN,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Psych,JUNK,0.31,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IP Division,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR - USA,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
Cardiothora,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
IP dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
random data,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
OB/GYN Unit,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
OB/GYN Division,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Dept of IR,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
Ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
ReproductiveEndocrinology,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
Dept of IP,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
PublicHealth,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
Neurops,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
